,Year,Selling Price,Kilometer_Driven,Fuel Type,Seller Type,Transmission,Owner,Brand Name,Model Name
0,2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,800 AC
1,2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor
2,2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX
3,2017,250000,46000,Petrol,Individual,Manual,First Owner,Datsun,RediGO T Option
4,2014,450000,141000,Diesel,Individual,Manual,Second Owner,Honda,Amaze VX i-DTEC
5,2007,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII
6,2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S
7,2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol
8,2015,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S
9,2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI
10,2015,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2 Base
11,2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol
12,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT
13,2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,800 AC
14,2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor
15,2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX
16,2017,250000,46000,Petrol,Individual,Manual,First Owner,Datsun,RediGO T Option
17,2014,450000,141000,Diesel,Individual,Manual,Second Owner,Honda,Amaze VX i-DTEC
18,2007,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII
19,2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S
20,2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol
21,2015,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S
22,2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI
23,2015,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2 Base
24,2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol
25,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT
